date,et_mm,region,et_mm_fuera_de_rango,es_duplicado
2015-10-01,4.061372241616101,Narino,False,False
2015-11-01,4.143590366173451,Narino,False,False
2015-12-01,4.432104008636618,Narino,False,False
2016-01-01,3.728656154703528,Narino,False,False
2016-02-01,3.4464330749161047,Narino,False,False
2016-03-01,3.7587274151868977,Narino,False,False
2016-04-01,4.023918708910276,Narino,False,False
2016-05-01,4.288057966325615,Narino,False,False
2016-06-01,3.910968049841766,Narino,False,False
2016-07-01,3.8295385000502007,Narino,False,False
2016-08-01,3.2297903842845077,Narino,False,False
2016-09-01,3.6000150491634035,Narino,False,False
2016-10-01,4.077405985805695,Narino,False,False
2016-11-01,3.68641035186667,Narino,False,False
2016-12-01,3.2563667691095795,Narino,False,False
2017-01-01,3.571352192321296,Narino,False,False
2017-02-01,4.069420828182546,Narino,False,False
2017-03-01,3.872536987672896,Narino,False,False
2017-04-01,3.721860525913892,Narino,False,False
2017-05-01,3.86093035964374,Narino,False,False
2017-06-01,3.5999858044525426,Narino,False,False
2017-07-01,4.042952105929373,Narino,False,False
2017-08-01,3.623643269926207,Narino,False,False
2017-09-01,3.440903404034363,Narino,False,False
2017-10-01,3.670933528350809,Narino,False,False
2017-11-01,3.802370804133105,Narino,False,False
2017-12-01,3.370148563307196,Narino,False,False
2018-01-01,3.377029047114386,Narino,False,False
2018-02-01,3.6008731227047868,Narino,False,False
2018-03-01,3.9048133783703807,Narino,False,False
2018-04-01,3.934344626395629,Narino,False,False
2018-05-01,3.85173153269006,Narino,False,False
2018-06-01,3.987878477191224,Narino,False,False
2018-07-01,3.851548146392516,Narino,False,False
2018-08-01,3.489144809200001,Narino,False,False
2018-09-01,3.0553056687837854,Narino,False,False
2018-10-01,3.575138643478807,Narino,False,False
2018-11-01,3.548299456159786,Narino,False,False
2018-12-01,3.92529256625486,Narino,False,False
2019-01-01,3.691151855985785,Narino,False,False
2019-02-01,3.5012373180574383,Narino,False,False
2019-03-01,3.980516062277718,Narino,False,False
2019-04-01,3.750887942557134,Narino,False,False
2019-05-01,3.73033943434748,Narino,False,False
