date,et_mm,region
2024-10-01,4.509021429555518,Narino
2024-11-01,3.7305791368710217,Narino
2024-12-01,3.238488474100055,Narino
2025-01-01,3.893573725721153,Narino
2025-02-01,3.6938098207070027,Narino
2025-03-01,3.575210401306648,Narino
2025-04-01,3.6583856482137205,Narino
2025-05-01,4.104168840245139,Narino
2025-06-01,3.600184890162491,Narino
2025-07-01,3.953218635919428,Narino
2025-08-01,3.604911983664766,Narino
2025-09-01,3.491631809661707,Narino
2025-10-01,3.8425151796806114,Narino
2025-11-01,3.6075506588898856,Narino
2025-12-01,4.033719067736019,Narino
2026-01-01,3.2235109404618822,Narino
2026-02-01,3.143255571962368,Narino
2026-03-01,3.8404125940015112,Narino
2026-04-01,4.1517367162284815,Narino
2026-05-01,4.114852904429436,Narino
2026-06-01,3.60719905976175,Narino
2026-07-01,3.7134042811410377,Narino
